name,Description,type,isAbout,Unnamed: 4,valueReference,Unnamed: 6,Unnamed: 7,unit,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,text
,,,name,path,value,name,path,,,,,,,"This dataset column lacks specific information, as its name, description, unit, and data type are all unspecified."
t_amb,Ambient temperature,Number,temperture,http://openenergy-platform.org/ontology/oeo/OEO_00010453,temperture,temperture,http://openenergy-platform.org/ontology/oeo/OEO_00010453,[°C],,,T_amb,t_amb,"{""name"": ""t_amb"", ""data_type"": ""float""},","The ""t_amb"" column represents the ambient temperature measured in degrees Celsius, with values recorded as numbers."
q_sol,Solar radiation,Number,solar radiation,https://openenergyplatform.org/ontology/oeo/OEO_00020038/,solar radiation,solar radiation,https://openenergyplatform.org/ontology/oeo/OEO_00020038/,[W/m²],,,Q_sol,q_sol,"{""name"": ""q_sol"", ""data_type"": ""float""},","The ""q_sol"" column represents solar radiation measured in watts per square meter, indicating the intensity of solar energy received on a surface area."
rh,Relative humidity,Number,relative humidity,,relative humidity,relative humidity,,[%],,,RH,rh,"{""name"": ""rh"", ""data_type"": ""float""},","The ""rh"" column represents relative humidity, expressed as a percentage, indicating the amount of moisture in the air relative to the maximum amount the air can hold at that temperature."
v_wind,Wind velocity,Number,wind velocity,http://purl.obolibrary.org/obo/UO_0000060,wind velocity,wind velocity,http://purl.obolibrary.org/obo/UO_0000060,[m/s],,,v_wind,v_wind,"{""name"": ""v_wind"", ""data_type"": ""float""},","The ""v_wind"" column represents the wind velocity measured in meters per second, providing numerical data on the speed of wind movement."
q_hp_sec,Heat pump's secondary loop thermal power,Number,power unit,https://openenergyplatform.org/ontology/oeo/OEO_00000333/,power unit,power unit,https://openenergyplatform.org/ontology/oeo/OEO_00000333/,[W],,,Q_hp_sec,q_hp_sec,"{""name"": ""q_hp_sec"", ""data_type"": ""float""},","The ""q_hp_sec"" column represents the thermal power of the heat pump's secondary loop, measured in watts, indicating the rate at which energy is transferred or used in this loop."
q_hp_prim,Heat pump's primary loop thermal power,Number,power unit,https://openenergyplatform.org/ontology/oeo/OEO_00000333/,power unit,power unit,https://openenergyplatform.org/ontology/oeo/OEO_00000333/,[W],,,Q_hp_prim,q_hp_prim,"{""name"": ""q_hp_prim"", ""data_type"": ""float""},","The ""q_hp_prim"" column represents the thermal power of the heat pump's primary loop, measured in watts, indicating the rate at which energy is transferred or converted by the heat pump."
t_sup_hp_sec,Heat pump's secondary loop supply temperature,Number,temperture,http://openenergy-platform.org/ontology/oeo/OEO_00010453,temperture,temperture,http://openenergy-platform.org/ontology/oeo/OEO_00010453,[°C],,,T_sup_hp_sec,t_sup_hp_sec,"{""name"": ""t_sup_hp_sec"", ""data_type"": ""float""},","The ""t_sup_hp_sec"" column represents the supply temperature of the heat pump's secondary loop, measured in degrees Celsius, and is recorded as a numerical value."
t_ret_hp_sec,Heat pump's secondary loop return temperature,Number,temperture,http://openenergy-platform.org/ontology/oeo/OEO_00010453,temperture,temperture,http://openenergy-platform.org/ontology/oeo/OEO_00010453,[°C],,,T_ret_hp_sec,t_ret_hp_sec,"{""name"": ""t_ret_hp_sec"", ""data_type"": ""float""},","The column ""t_ret_hp_sec"" represents the return temperature of the heat pump's secondary loop, measured in degrees Celsius, and is recorded as a numerical value."
v_hp_sec,Heat pump's secondary loop volume flow rate,Number,water flow rate,https://openenergyplatform.org/ontology/oeo/OEO_00110003/,water flow rate,water flow rate,https://openenergyplatform.org/ontology/oeo/OEO_00110003/,[m³/h],,,V_hp_sec,v_hp_sec,"{""name"": ""v_hp_sec"", ""data_type"": ""float""},","The column ""v_hp_sec"" represents the volume flow rate of the heat pump's secondary loop, measured in cubic meters per hour, and is recorded as a numerical value."
